"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Automotores",2000,9,"Buenos Aires","B",20293,"06"
"Automotores",2000,9,"Catamarca","K",201,"10"
"Automotores",2000,9,"Chaco","H",691,"22"
"Automotores",2000,9,"Chubut","U",903,"26"
"Automotores",2000,9,"Ciudad Autónoma de Bs.As.","C",10964,"02"
"Automotores",2000,9,"Córdoba","X",8516,"14"
"Automotores",2000,9,"Corrientes","W",731,"18"
"Automotores",2000,9,"Entre Ríos","E",1910,"30"
"Automotores",2000,9,"Formosa","P",173,"34"
"Automotores",2000,9,"Jujuy","Y",367,"38"
"Automotores",2000,9,"La Pampa","L",499,"42"
"Automotores",2000,9,"La Rioja","F",285,"46"
"Automotores",2000,9,"Mendoza","M",3796,"50"
"Automotores",2000,9,"Misiones","N",921,"54"
"Automotores",2000,9,"Neuquén","Q",748,"58"
"Automotores",2000,9,"Río Negro","R",613,"62"
"Automotores",2000,9,"Salta","A",528,"66"
"Automotores",2000,9,"San Juan","J",814,"70"
"Automotores",2000,9,"San Luis","D",344,"74"
"Automotores",2000,9,"Santa Cruz","Z",375,"78"
"Automotores",2000,9,"Santa Fe","S",5741,"82"
"Automotores",2000,9,"Santiago del Estero","G",301,"86"
"Automotores",2000,9,"Tierra del Fuego","V",352,"94"
"Automotores",2000,9,"Tucumán","T",820,"90"
"Automotores",2000,10,"Buenos Aires","B",18925,"06"
"Automotores",2000,10,"Catamarca","K",213,"10"
"Automotores",2000,10,"Chaco","H",632,"22"
"Automotores",2000,10,"Chubut","U",879,"26"
"Automotores",2000,10,"Ciudad Autónoma de Bs.As.","C",10493,"02"
"Automotores",2000,10,"Córdoba","X",8007,"14"
"Automotores",2000,10,"Corrientes","W",655,"18"
"Automotores",2000,10,"Entre Ríos","E",1850,"30"
"Automotores",2000,10,"Formosa","P",186,"34"
"Automotores",2000,10,"Jujuy","Y",419,"38"
"Automotores",2000,10,"La Pampa","L",470,"42"
"Automotores",2000,10,"La Rioja","F",227,"46"
"Automotores",2000,10,"Mendoza","M",3579,"50"
"Automotores",2000,10,"Misiones","N",911,"54"
"Automotores",2000,10,"Neuquén","Q",663,"58"
"Automotores",2000,10,"Río Negro","R",628,"62"
"Automotores",2000,10,"Salta","A",562,"66"
"Automotores",2000,10,"San Juan","J",802,"70"
